symbol,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_rupees,reason,hold_days,cumulative_pnl
JHS,2024-01-25,2024-01-30,35.8,38.15,6.2,124.08,Time Stop (5d),5,1094.79
EMMBI,2024-01-25,2024-01-30,130.25,130.55,-0.13,-2.59,Time Stop (5d),5,1092.2
ELECTHERM,2024-01-25,2024-01-30,347.95,361.95,3.66,73.27,Time Stop (5d),5,1165.47
DHANBANK,2024-01-25,2024-01-30,41.55,45.77,9.8,195.93,Time Stop (5d),5,1361.4
CORALFINAC,2024-01-25,2024-01-30,62.3,62.55,0.04,0.83,Time Stop (5d),5,1362.23
CELEBRITY,2024-01-25,2024-01-30,18.95,19.75,3.86,77.23,Time Stop (5d),5,1439.46
ESSARSHPNG,2024-01-25,2024-01-30,32.1,31.1,-3.48,-69.51,Time Stop (5d),5,1369.95
BIOFILCHEM,2024-01-25,2024-01-30,66.3,70.55,6.05,121.01,Time Stop (5d),5,1490.96
BALKRISHNA,2024-01-25,2024-01-30,50.5,49.7,-1.94,-38.88,Time Stop (5d),5,1452.08
ARVSMART,2024-01-25,2024-01-30,495.0,521.85,5.06,101.28,Time Stop (5d),5,1553.36
ACCURACY,2024-01-25,2024-01-30,15.1,16.6,9.57,191.48,Time Stop (5d),5,1744.84
21STCENMGM,2024-01-25,2024-01-30,40.55,42.15,3.59,71.71,Time Stop (5d),5,1816.55
ELECTHERM,2024-01-30,2024-02-02,361.95,383.34079345006734,5.55,111.0,Take Profit,3,1927.55
HUBTOWN,2024-01-30,2024-02-02,135.25,155.8334096433227,14.86,297.18,Take Profit,3,2224.73
GENUSPAPER,2024-01-30,2024-02-05,26.8,26.5,-1.48,-29.59,Time Stop (5d),6,2195.14
GLOBAL,2024-01-30,2024-02-05,119.68,109.86,-8.57,-171.3,Time Stop (5d),6,2023.84
KANANIIND,2024-01-30,2024-02-05,5.55,6.36208750928931,14.27,285.44,Take Profit,6,2309.2799999999997
INDOWIND,2024-01-30,2024-02-05,29.71,29.39,-1.44,-28.74,Time Stop (5d),6,2280.54
IRCON,2024-01-30,2024-02-05,234.7,223.6,-5.09,-101.79,Time Stop (5d),6,2178.75
ISFT,2024-01-30,2024-02-05,159.9,164.55,2.55,50.96,Time Stop (5d),6,2229.71
DHANBANK,2024-01-30,2024-02-05,45.77,39.753117844802574,-13.51,-270.12,Stop Loss,6,1959.5900000000001
KECL,2024-01-30,2024-02-05,149.6,144.3,-3.9,-78.06,Time Stop (5d),6,1881.5300000000002
INDOSTAR,2024-01-30,2024-02-05,196.5,184.4,-6.52,-130.36,Time Stop (5d),6,1751.17
DENORA,2024-01-30,2024-02-05,1383.5,1430.65,3.05,60.96,Time Stop (5d),6,1812.13
DIGISPICE,2024-01-30,2024-02-05,39.35,35.45,-10.27,-205.42,Time Stop (5d),6,1606.71
BHANDARI,2024-01-30,2024-02-05,7.12,8.450741829478236,18.33,366.6,Take Profit,6,1973.31
BANKA,2024-01-30,2024-02-05,147.55,150.8,1.84,36.85,Time Stop (5d),6,2010.1599999999999
BAGFILMS,2024-01-30,2024-02-05,12.6,12.75,0.83,16.61,Time Stop (5d),6,2026.7699999999998
ATALREAL,2024-01-30,2024-02-05,15.02,15.32,1.64,32.75,Time Stop (5d),6,2059.5199999999995
ARCHIES,2024-01-30,2024-02-05,35.9,33.6,-6.77,-135.33,Time Stop (5d),6,1924.1899999999996
ANGELONE,2024-01-30,2024-02-05,309.38,321.26,3.48,69.6,Time Stop (5d),6,1993.7899999999995
ACCURACY,2024-01-30,2024-02-05,16.6,17.3,3.86,77.14,Time Stop (5d),6,2070.9299999999994
21STCENMGM,2024-01-30,2024-02-05,42.15,42.1,-0.48,-9.57,Time Stop (5d),6,2061.359999999999
ALKALI,2024-01-29,2024-02-05,140.3,140.65,-0.11,-2.21,Time Stop (5d),7,2059.149999999999
AHLADA,2024-01-29,2024-02-05,131.9,133.1,0.55,11.0,Time Stop (5d),7,2070.149999999999
